API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:genre_country,Genre country,genre,"[{'参数名': ['genre', 'country', 'limit', 'index', 'id'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '']}]",[{}]
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:genre,World genre,genre,"[{'参数名': ['genre', 'id', 'limit', 'index'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '']}]",[{}]
"Radio World - 75,000+ Worldwide FM Radio stations..",https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,radio-world-75-000-worldwide-fm-radio-stations.p.rapidapi.com,GET:getAllStation,"You will get all recent stations here, based on.",,[{}],"[{'参数名': ['limit', 'order', 'page', 'random'], '参数类型': ['NUMBER', 'STRING', 'NUMBER', 'BOOLEAN'], '参数注意事项': ['Limitation per page. (default: 10)', 'Ascending/Disascending order. (use only ASC or DESC)', 'Page Number. (default: 1)', 'Calling random radios. (default : false)']}]"
"Radio World - 75,000+ Worldwide FM Radio stations..",https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,radio-world-75-000-worldwide-fm-radio-stations.p.rapidapi.com,GET:searchStation,Search Radio station by keywords.,,[{}],"[{'参数名': ['limit', 'page', 'order'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Item limitation per page.', 'Page Number.', 'Display item by Ascending or Disascending order']}]"
"Radio World - 75,000+ Worldwide FM Radio stations..",https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,radio-world-75-000-worldwide-fm-radio-stations.p.rapidapi.com,GET:getAllCountry,Get all countries Name based on.,,[{}],"[{'参数名': ['limit', 'page', 'order'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Item limitation per page. (default is length.value of countries array. here is 500 max)', 'Page no to be displayed (default : 1)', 'Ascending/Disascending order (use ASC or DESC)']}]"
"Radio World - 75,000+ Worldwide FM Radio stations..",https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,radio-world-75-000-worldwide-fm-radio-stations.p.rapidapi.com,GET:getStationByCountry,Getting all Stations by country based on.,,[{}],"[{'参数名': ['limit', 'page', 'order'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Item limitation per page. (default: 10)', 'Page Number. (default: 1)', 'Ascending/Disascending order. (use only ASC or DESC)']}]"
"Radio World - 75,000+ Worldwide FM Radio stations..",https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,radio-world-75-000-worldwide-fm-radio-stations.p.rapidapi.com,GET:getHomePage,"We have made an option for you to display result in your landing/home page. So you don't have to work hard to achieve this.
Get limited radios to show in landing/home page, based on.",,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['Item limitation on landing page. (default: 10)']}]"
"Radio World - 75,000+ Worldwide FM Radio stations..",https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,radio-world-75-000-worldwide-fm-radio-stations.p.rapidapi.com,GET:getAllQuotes,You will get all the quotes here based on.,,[{}],"[{'参数名': ['limit', 'page'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['Item limitations per page. (default: 10)', 'Page number to be displayed. (default: 1)']}]"
Jio Saavan unofficial,https://rapidapi.com/riyanshgupta750/api/jio-saavan-unofficial/,jio-saavan-unofficial.p.rapidapi.com,POST:Get Song Link,Provide the encrypted_url you get for a song from its details to get the audio link.,,[{}],[{}]
Jio Saavan unofficial,https://rapidapi.com/riyanshgupta750/api/jio-saavan-unofficial/,jio-saavan-unofficial.p.rapidapi.com,GET:Get Song Details,Enter the song name and get all the details in JSON,,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
