API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,POST:Generate OTP,"Send an OTP to a mobile number for verification. Once the customer receives it and enters it in your app, then you can call the Verify OTP endpoint to verify it",D7 Verify (2FA),[{}],[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,POST:Resend OTP,"If the OTP is not received by the customer, you can use the Resend OTP endpoint to generate a new one. Before requesting a resend, there must be a minimum 60-second delay, which can be adjusted in",D7 Verify (2FA),[{}],[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,POST:Verify OTP,"At this endpoint, you can verify the OTP the customer enters in your application.",D7 Verify (2FA),[{}],[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,GET:Get OTP Status,Get the status of OTP generated or verified,D7 Verify (2FA),"[{'参数名': ['otp_id'], '参数类型': ['STRING'], '参数注意事项': ['The otp_ id which was returned from Send OTP endpoint']}]",[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,POST:NumLookup,"Using this endpoint get detailed information about the phone number, including the carrier name, country code, number type (landline or mobile), and other relevant details",D7 Number Lookup,[{}],[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,POST:Send Viber Message,"D7's Viber Messaging API is designed to meet a wide range of use cases and can be seamlessly integrated into any system. With this API, you can effortlessly implement single Viber messages or personalized batch Viber messages, catering to your specific needs.",D7 Viber,[{}],[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,GET:Get Viber Message Status,Retrieve the delivery status of Viber messages that were sent earlier.,D7 Viber,"[{'参数名': ['request_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,POST:Send Slack Message,Our Messaging API designed to fullfill most of your use cases and can be easily integrate to any of the system. We can send single message to both private and public channel in your workspace by adding the channel as slack in messaging API. The D7Messaging App should be added ...,D7 Slack,[{}],[{}]
D7SMS,https://rapidapi.com/direct7-networks-direct7-networks-default/api/d7sms/,d7sms.p.rapidapi.com,GET:Get Slack Message Status,Get Message Delivery Status of previously sent messages.,D7 Slack,"[{'参数名': ['request_id'], '参数类型': ['STRING'], '参数注意事项': ['The Request id which was returned from Send Message endpoint']}]",[{}]
GetItSMS WhatsApp APIs,https://rapidapi.com/getitsmsservices/api/getitsms-whatsapp-apis/,getitsms-whatsapp-apis.p.rapidapi.com,POST:GetIT SMS WHATSAPP API,We are providing bulk whatsapp sms services.To use our whatsapp bulk sms service you need api key.Go through our application and get our service.,,[{}],[{}]
