API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:search bets,get all available bets labels | All bets {id} can be used in endpoint [odds] as filters,Search,"[{'参数名': ['search'], '参数类型': ['STRING'], '参数注意事项': ['3 characters minimum | Fails if field has anything other than alphabetic characters']}]",[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:search bookmakers,get all available bookmakers | All bookmakers {id} can be used in endpoint [odds] as filters,Search,"[{'参数名': ['search'], '参数类型': ['STRING'], '参数注意事项': ['3 characters minimum | Fails if field has anything other than alphabetic characters']}]",[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:search countries,Get all available countries | The {country} and {code} keys can be used in other endpoints as filters,Search,"[{'参数名': ['search'], '参数类型': ['STRING'], '参数注意事项': ['3 characters minimum | Fails if field has anything other than alphabetic characters']}]",[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:search leagues,Get all available leagues | The league {id} are unique in the API and leagues keep it across all seasons,Search,"[{'参数名': ['search'], '参数类型': ['STRING'], '参数注意事项': ['3 characters minimum | Fails if field has anything other than alphabetic characters']}]",[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:search teams,Get all available teams | The team {id} are unique in the API and teams keep it among all the leagues/cups in which they participate,Search,"[{'参数名': ['search'], '参数类型': ['STRING'], '参数注意事项': ['3 characters minimum | Fails if field has anything other than alphabetic characters']}]",[{}]
Api-Football-Beta,https://rapidapi.com/api-sports/api/api-football-beta/,api-football-beta.p.rapidapi.com,GET:timezone,"Get all available timezone in the API
Recommended Calls : 1 call when you need",,[{}],[{}]
Api-Football-Beta,https://rapidapi.com/api-sports/api/api-football-beta/,api-football-beta.p.rapidapi.com,GET:countries,"Get the list of available countries
Update Frequency : This endpoint is updated each time a new league from a country not covered by the API is added
Recommended Calls : 1 call per day",,[{}],"[{'参数名': ['search', 'name', 'code'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['The Alpha2 code of the country', 'The name of the country', 'The name of the country']}]"
Api-Football-Beta,https://rapidapi.com/api-sports/api/api-football-beta/,api-football-beta.p.rapidapi.com,GET:fixtures rounds,"Get the rounds for a league or a cup
Update Frequency : Every day
Recommended Calls : 1 call per day",Fixtures,[{}],"[{'参数名': ['current'], '参数类型': ['STRING'], '参数注意事项': ['The current round only, ""true"", ""false""']}]"
Api-Football-Beta,https://rapidapi.com/api-sports/api/api-football-beta/,api-football-beta.p.rapidapi.com,GET:fixtures,"Get fixtures
You can use several parameters at the same time (Check the documentation)
Update Frequency : Every 15 seconds
Recommended Calls : 1 call per minute for the leagues, teams, fixtures who have at least one fixture i...",Fixtures,[{}],"[{'参数名': ['to', 'timezone', 'season', 'status', 'last', 'round', 'live', 'league', 'id', 'from', 'date', 'next', 'team'], '参数类型': ['DATE (YYYY-MM-DD)', 'STRING', 'NUMBER', 'STRING', 'NUMBER', 'STRING', 'STRING', 'NUMBER', 'NUMBER', 'DATE (YYYY-MM-DD)', 'DATE (YYYY-MM-DD)', 'NUMBER', 'NUMBER'], '参数注意事项': ['A valid date, ""YYYY-MM-DD""', 'Fails if field is not a result of the endpoint timezone', 'The season of the league, ""YYYY""', 'The short status', '', 'The round of the fixture', '""all"" or by league id : ""id-id-id…""', 'The id of the league', 'The id of the fixture', 'A valid date, ""YYYY-MM-DD""', 'A valid date, ""YYYY-MM-DD""', '', 'The id of the team']}]"
Api-Football-Beta,https://rapidapi.com/api-sports/api/api-football-beta/,api-football-beta.p.rapidapi.com,GET:fixtures h2h,"Get heads to heads between two teams
Update Frequency : Every 15 seconds
Recommended Calls : 1 call per minute for the leagues, teams, fixtures who have at least one fixture in progress otherwise 1 call per day",Fixtures,[{}],"[{'参数名': ['league', 'status', 'season', 'timezone', 'from', 'last', 'date', 'next', 'to'], '参数类型': ['NUMBER', 'STRING', 'NUMBER', 'STRING', 'DATE (YYYY-MM-DD)', 'NUMBER', 'DATE (YYYY-MM-DD)', 'NUMBER', 'DATE (YYYY-MM-DD)'], '参数注意事项': ['The id of the league', 'The short status', 'The season of the league, ""YYYY""', 'Fails if field is not a result of the endpoint timezone', 'A valid date, ""YYYY-MM-DD""', '', 'A valid date, ""YYYY-MM-DD""', '', 'A valid date, ""YYYY-MM-DD""']}]"
