API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series by Title,"Search by TV Series Title
return title, id, release_date",TV Series/Shows,"[{'参数名': ['title'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series Images by ID,"A valid TV Series ID (e.g. tt2741602)
return poster, fanart",TV Series/Shows,"[{'参数名': ['seriesid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series Aliases by ID,"A valid TV Series ID (e.g. tt2741602)
return tv series aliases",TV Series/Shows,"[{'参数名': ['seriesid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Recently Added TV Series By Release Date,"return tv series results with title, id, year",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Popular TV Shows By Year,"return tv series results with title, id, year",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV ON the Air,"return tv series results with title, id, year",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Trending TV Shows,"return tv series results with title, id, year",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Airing today TV Shows,"return tv series results with title, id, year",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Similar TV Shows,"return tv series results with title, id, release date",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series Seasons By ID,"A valid TV Series ID (e.g. tt2741602)
return Season number, season air date, Episode count, Season trailer",TV Series/Shows,"[{'参数名': ['seriesid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,"GET:GET TV Series Episodes by Series ID, Season Number","A valid TV Series ID (e.g. tt2741602)
return Episode number, episode name, episode air date, vote average, vote count",TV Series/Shows,"[{'参数名': ['seriesid', 'season'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)', '']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Schedule By Country,"return TV Series Name, Season Number, Episode number, Episode name, Air date, air time, runtime, Network, series id",TV Series/Shows,"[{'参数名': ['country'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series By Year,"return tv series results with title, year, id",TV Series/Shows,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Similar Movies,https://rapidapi.com/animeslayerquiz/api/similar-movies/,similar-movies.p.rapidapi.com,GET:get Id,get the id of your movie,,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Similar Movies,https://rapidapi.com/animeslayerquiz/api/similar-movies/,similar-movies.p.rapidapi.com,GET:find similar,find similar movies for your movie,,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Countries,"Get all the supported countries and the list of the supported services and their details for each country. Details of services include names, logos, supported streaming types (subscription, rent, buy, free etc.) and list of available addons/channels.",,[{}],[{}]
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Genres,Get the ids and names of the supported genres.,,[{}],[{}]
Streaming Availability,https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,streaming-availability.p.rapidapi.com,GET:Get by Id,"Get the details of a show via IMDb or TMDb id, including the global streaming availability info.",,[{}],"[{'参数名': ['output_language', 'imdb_id', 'tmdb_id'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['ISO 639-1 code of the output language. Determines in which language the output field title will be in. It also effects how the keyword input will be handled in search endpoints. (i.e. if output_language is es, then the keyword will be treated as a Spanish word).', 'IMDb ID of the target show. Either this or tmdb_id parameter must be supplied.', 'TMDb ID of the target show. Either this or imdb_id parameter must be supplied']}]"
